,coefficient_name,value,constrain
103,sr2_ASC_auto_sufficient_eatout,1.0981732606887817,F
104,sr2_ASC_auto_sufficient_escort,0.0,F
105,sr2_ASC_auto_sufficient_othdiscr,0.6411882638931274,F
106,sr2_ASC_auto_sufficient_othmaint,0.6358943581581116,F
107,sr2_ASC_auto_sufficient_school,-5.7889509201049805,F
108,sr2_ASC_auto_sufficient_shopping,0.29451340436935425,F
109,sr2_ASC_auto_sufficient_social,0.138589546084404,F
110,sr2_ASC_auto_sufficient_univ,-1.859427,F
111,sr2_ASC_auto_sufficient_work,-0.697816014289856,F
112,sr2_ASC_auto_sufficient_atwork,-1.4450618,F
113,sr3p_ASC_no_auto_eatout,-0.40206924080848694,F
114,sr3p_ASC_no_auto_escort,-6.001885890960693,F
115,sr3p_ASC_no_auto_othdiscr,-2.6019375324249268,F
116,sr3p_ASC_no_auto_othmaint,-0.9124253392219543,F
117,sr3p_ASC_no_auto_school,-9.172687530517578,F
118,sr3p_ASC_no_auto_shopping,-8.775769233703613,F
119,sr3p_ASC_no_auto_social,-3.7753565311431885,F
120,sr3p_ASC_no_auto_univ,-6.056001,F
121,sr3p_ASC_no_auto_work,-5.298410892486572,F
122,sr3p_ASC_no_auto_atwork,0.5826626,F
123,sr3p_ASC_auto_deficient_eatout,1.8153893947601318,F
124,sr3p_ASC_auto_deficient_escort,-2.4329521656036377,F
125,sr3p_ASC_auto_deficient_othdiscr,-2.2264492511749268,F
126,sr3p_ASC_auto_deficient_othmaint,-2.263294219970703,F
127,sr3p_ASC_auto_deficient_school,-6.107155799865723,F
128,sr3p_ASC_auto_deficient_shopping,0.5714444518089294,F
129,sr3p_ASC_auto_deficient_social,-0.6976423263549805,F
130,sr3p_ASC_auto_deficient_univ,-1.7277422,F
131,sr3p_ASC_auto_deficient_work,0.9291173219680786,F
132,sr3p_ASC_auto_deficient_atwork,-2.514658,F
133,sr3p_ASC_auto_sufficient_eatout,-0.09153172373771667,F
134,sr3p_ASC_auto_sufficient_escort,-0.3159448504447937,F
135,sr3p_ASC_auto_sufficient_othdiscr,-0.2650294601917267,F
136,sr3p_ASC_auto_sufficient_othmaint,0.16091319918632507,F
137,sr3p_ASC_auto_sufficient_school,-6.175109386444092,F
138,sr3p_ASC_auto_sufficient_shopping,-0.13308462500572205,F
139,sr3p_ASC_auto_sufficient_social,-0.05790194496512413,F
140,sr3p_ASC_auto_sufficient_univ,-1.9047098,F
141,sr3p_ASC_auto_sufficient_work,-1.1653722524642944,F
142,sr3p_ASC_auto_sufficient_atwork,-1.652174,F
143,walk_transit_ASC_no_auto_eatout,7.616078853607178,F
144,walk_transit_ASC_no_auto_escort,3.0900611877441406,F
145,walk_transit_ASC_no_auto_othdiscr,9.699602127075195,F
146,walk_transit_ASC_no_auto_othmaint,-0.9205635190010071,F
147,walk_transit_ASC_no_auto_school,32.01834487915039,F
148,walk_transit_ASC_no_auto_shopping,8.892454147338867,F
149,walk_transit_ASC_no_auto_social,1.4723196029663086,F
150,walk_transit_ASC_no_auto_univ,8.786037,F
151,walk_transit_ASC_no_auto_work,8.059752464294434,F
152,walk_transit_ASC_no_auto_atwork,2.7041876,F
153,walk_transit_ASC_auto_deficient_eatout,-3.82769513130188,F
154,walk_transit_ASC_auto_deficient_escort,-9.143167495727539,F
155,walk_transit_ASC_auto_deficient_othdiscr,-0.4278973340988159,F
156,walk_transit_ASC_auto_deficient_othmaint,-6.4383158683776855,F
157,walk_transit_ASC_auto_deficient_school,-0.23897287249565125,F
158,walk_transit_ASC_auto_deficient_shopping,-1.5630513429641724,F
159,walk_transit_ASC_auto_deficient_social,2.5764594078063965,F
160,walk_transit_ASC_auto_deficient_univ,3.1362555,F
161,walk_transit_ASC_auto_deficient_work,-2.634777784347534,F
162,walk_transit_ASC_auto_deficient_atwork,-2.9988291,F
163,walk_transit_ASC_auto_sufficient_eatout,-0.6658564805984497,F
164,walk_transit_ASC_auto_sufficient_escort,-2.367258071899414,F
165,walk_transit_ASC_auto_sufficient_othdiscr,-0.94711834192276,F
166,walk_transit_ASC_auto_sufficient_othmaint,-4.292471408843994,F
167,walk_transit_ASC_auto_sufficient_school,-3.5689165592193604,F
168,walk_transit_ASC_auto_sufficient_shopping,-4.639132976531982,F
169,walk_transit_ASC_auto_sufficient_social,0.0713014155626297,F
170,walk_transit_ASC_auto_sufficient_univ,0.4731163,F
171,walk_transit_ASC_auto_sufficient_work,1.0650992393493652,F
172,walk_transit_ASC_auto_sufficient_atwork,-3.401027,F
173,drive_transit_ASC_no_auto_all,0.0,F
174,drive_transit_ASC_auto_deficient_eatout,-0.8405624032020569,F
175,drive_transit_ASC_auto_deficient_escort,3.5796706676483154,F
176,drive_transit_ASC_auto_deficient_othdiscr,-3.8817081451416016,F
177,drive_transit_ASC_auto_deficient_othmaint,2.2499289512634277,F
178,drive_transit_ASC_auto_deficient_school,-2.0389392375946045,F
179,drive_transit_ASC_auto_deficient_shopping,-1.9130593538284302,F
180,drive_transit_ASC_auto_deficient_social,0.6583114266395569,F
181,drive_transit_ASC_auto_deficient_univ,1.8501176,F
182,drive_transit_ASC_auto_deficient_work,-2.699266195297241,F
183,drive_transit_ASC_auto_deficient_atwork,-998.8196,F
184,drive_transit_ASC_auto_sufficient_eatout,-0.19194665551185608,F
185,drive_transit_ASC_auto_sufficient_escort,0.7670876383781433,F
186,drive_transit_ASC_auto_sufficient_othdiscr,-1.2018150091171265,F
187,drive_transit_ASC_auto_sufficient_othmaint,-1.586803674697876,F
188,drive_transit_ASC_auto_sufficient_school,-8.696657180786133,F
189,drive_transit_ASC_auto_sufficient_shopping,-4.072051048278809,F
190,drive_transit_ASC_auto_sufficient_social,-1.3531229496002197,F
191,drive_transit_ASC_auto_sufficient_univ,1.3587753,F
192,drive_transit_ASC_auto_sufficient_work,-0.7365387082099915,F
193,drive_transit_ASC_auto_sufficient_atwork,-999.21466,F
194,taxi_ASC_no_auto_eatout_othdiscr_social,0.9923,F
195,taxi_ASC_no_auto_escort_othmaint_shopping,1.8939,F
196,taxi_ASC_no_auto_school_univ,-7.0,T
197,taxi_ASC_no_auto_work,-2.688546657562256,F
198,taxi_ASC_no_auto_atwork,4.1021,F
199,taxi_ASC_auto_deficient_eatout_othdiscr_social,-3.1317,F
200,taxi_ASC_auto_deficient_escort_othmaint_shopping,0.1766,F
201,taxi_ASC_auto_deficient_school,-5.993195056915283,F
202,taxi_ASC_auto_deficient_univ,4.2492,F
203,taxi_ASC_auto_deficient_work,-3.2768425941467285,F
204,taxi_ASC_auto_deficient_atwork,-4.4046,F
205,taxi_ASC_auto_sufficient_eatout_othdiscr_social,-3.0374,F
206,taxi_ASC_auto_sufficient_escort_othmaint_shopping,-1.8055,F
207,taxi_ASC_auto_sufficient_school,-2.662081480026245,F
208,taxi_ASC_auto_sufficient_univ,-0.3131,F
209,taxi_ASC_auto_sufficient_work,-7.172549247741699,F
210,taxi_ASC_auto_sufficient_atwork,-2.8804,F
211,tnc_single_ASC_no_auto_eatout_othdiscr_social,1.6852,F
212,tnc_single_ASC_no_auto_escort_othmaint_shopping,1.8605,F
213,tnc_single_ASC_no_auto_school,-6.5901384353637695,T
214,tnc_single_ASC_no_auto_univ,-2.519,F
215,tnc_single_ASC_no_auto_work,10.543121337890625,F
216,tnc_single_ASC_no_auto_atwork,4.4982,F
217,tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-2.9623,F
218,tnc_single_ASC_auto_deficient_escort_othmaint_shopping,0.6748,F
219,tnc_single_ASC_auto_deficient_school,-6.430821418762207,F
220,tnc_single_ASC_auto_deficient_univ,1.0221,F
221,tnc_single_ASC_auto_deficient_work,-0.9427717924118042,F
222,tnc_single_ASC_auto_deficient_atwork,-3.7626,F
223,tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-2.3239,F
224,tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-1.45,F
225,tnc_single_ASC_auto_sufficient_school,-3.0485570430755615,F
226,tnc_single_ASC_auto_sufficient_univ,0.2088,F
227,tnc_single_ASC_auto_sufficient_work,-5.23255729675293,F
228,tnc_single_ASC_auto_sufficient_atwork,-2.7988,F
229,tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.6464,F
230,tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.9361,F
231,tnc_shared_ASC_no_auto_school,-8.466842651367188,T
232,tnc_shared_ASC_no_auto_univ,-5.8116,F
233,tnc_shared_ASC_no_auto_work,0.07313921302556992,F
234,tnc_shared_ASC_no_auto_atwork,3.3672,F
235,tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-4.3576,F
236,tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-0.3863,F
237,tnc_shared_ASC_auto_deficient_school,-7.850653171539307,F
238,tnc_shared_ASC_auto_deficient_univ,3.25,F
239,tnc_shared_ASC_auto_deficient_work,0.5502570867538452,F
240,tnc_shared_ASC_auto_deficient_atwork,-4.5089,F
241,tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,-3.6638,F
242,tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,-2.4365,F
243,tnc_shared_ASC_auto_sufficient_school,-4.058299541473389,F
244,tnc_shared_ASC_auto_sufficient_univ,-0.9068,F
245,tnc_shared_ASC_auto_sufficient_work,-2.9698326587677,F
246,tnc_shared_ASC_auto_sufficient_atwork,-3.5397,F
247,joint_walk_ASC_no_auto_all,-0.21274701,F
248,joint_walk_ASC_auto_deficient_all,-1.9607706,F
249,joint_walk_ASC_auto_sufficient_all,-3.2352157,F
250,joint_bike_ASC_no_auto_all,-2.8671598,F
251,joint_bike_ASC_auto_deficient_all,-6.076415,F
252,joint_bike_ASC_auto_sufficient_all,-6.3760657,F
253,joint_sr2_ASC_no_auto_all,0.0,T
254,joint_sr2_ASC_auto_deficient_all,0.0,T
255,joint_sr2_ASC_auto_sufficient_all,0.0,T
256,joint_sr3p_ASC_no_auto_all,0.5630671,F
257,joint_sr3p_ASC_auto_deficient_all,-1.8841692,F
258,joint_sr3p_ASC_auto_sufficient_all,-2.234826,F
259,joint_walk_transit_ASC_no_auto_all,0.62292415,F
260,joint_walk_transit_ASC_auto_deficient_all,-5.1634483,F
261,joint_walk_transit_ASC_auto_sufficient_all,-18.264534,F
262,joint_drive_transit_ASC_no_auto_all,0.0,T
263,joint_drive_transit_ASC_auto_deficient_all,-5.9632215,F
264,joint_drive_transit_ASC_auto_sufficient_all,-8.045285,F
265,joint_taxi_ASC_no_auto_all,-4.5792,F
266,joint_taxi_ASC_auto_deficient_all,-9.8157,F
267,joint_taxi_ASC_auto_sufficient_all,-11.7099,T
268,joint_tnc_single_ASC_no_auto_all,-4.4917,F
269,joint_tnc_single_ASC_auto_deficient_all,-9.8961,F
270,joint_tnc_single_ASC_auto_sufficient_all,-14.0159,T
271,joint_tnc_shared_ASC_no_auto_all,-4.3002,F
272,joint_tnc_shared_ASC_auto_deficient_all,-11.1572,F
273,joint_tnc_shared_ASC_auto_sufficient_all,-13.205,T
274,local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-0.090703264,F
275,local_bus_ASC_school_univ,-0.06508621,F
276,local_bus_ASC_work,-1.9043378829956055,F
277,walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.76895475,F
278,walk_light_rail_ASC_school_univ,1.6814003,F
279,walk_light_rail_ASC_work,0.9774332046508789,F
280,drive_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.76895475,F
281,drive_light_rail_ASC_school_univ,1.6814003,F
282,drive_light_rail_ASC_work,9.996874809265137,F
283,walk_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
284,walk_ferry_ASC_school_univ,2.0202317,F
285,walk_ferry_ASC_work,0.9332260489463806,F
286,drive_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
287,drive_ferry_ASC_school_univ,2.0202317,F
288,drive_ferry_ASC_work,0.9332260489463806,F
289,express_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9692316,F
290,express_bus_ASC_school_univ,0.32496938,F
291,express_bus_ASC_work,-0.5165473818778992,F
